Código Comuna hasta 1999;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Nombre Comuna;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Provincia desde 2000;Código Comuna desde 2010;Código Provincia desde 2000;Provincia desde 2008;Código Provincia desde 2008;Provincia desde 2010;Código Provincia desde 2010;Nombre Región desde 2000;Código Región desde 2000;Nombre Región desde 2008;Código Región desde 2008;Nombre Servicio de Salud hasta 2007;Código Servicio Salud hasta 2007;Nombre Servicio de Salud desde 2008;Código Servicio Salud desde 2008
255;4105;4105;4105;Paiguano;04105;04105;04105;Elqui;4105;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
254;4106;4106;4106;Vicuña;04106;04106;04106;Elqui;4106;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
270;4201;4201;4201;Illapel;04201;04201;04201;Choapa;4201;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
273;4202;4202;4202;Canela;04202;04202;04202;Choapa;4202;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
272;4203;4203;4203;Los Vilos;04203;04203;04203;Choapa;4203;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
271;4204;4204;4204;Salamanca;04204;04204;04204;Choapa;4204;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
260;4301;4301;4301;Ovalle;04301;04301;04301;Limari;4301;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
263;4302;4302;4302;Combarbalá;04302;04302;04302;Limari;4302;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
262;4303;4303;4303;Monte Patria;04303;04303;04303;Limari;4303;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
264;4304;4304;4304;Punitaqui;04304;04304;04304;Limari;4304;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
261;4305;4305;4305;Río Hurtado;04305;04305;04305;Limari;4305;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
310;5101;5101;5101;Valparaíso;05101;05101;05101;Valparaíso  ;5101;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
316;5102;5102;5102;Casablanca;05102;05102;05102;Valparaíso  ;5102;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
318;5103;5103;5103;Concón;05103;05103;05103;Valparaíso  ;5103;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Viña Del Mar Quillota;07;Viña Del Mar Quillota;07
317;5104;5104;5104;Juan Fernández;05104;05104;05104;Valparaíso  ;5104;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
313;5105;5105;5105;Puchuncaví;05105;05105;05105;Valparaíso  ;5105;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
314;5106;5106;5801;Quilpué;05106;05106;05801;Valparaíso  ;5801;051;Valparaíso  ;051;Marga Marga;058;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
312;5107;5107;5107;Quintero;05107;05107;05107;Valparaíso  ;5107;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
315;5108;5108;5804;Villa Alemana;05108;05108;05804;Valparaíso  ;5804;051;Valparaíso  ;051;Marga Marga;058;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
311;5109;5109;5109;Viña del Mar;05109;05109;05109;Valparaíso  ;5109;051;Valparaíso  ;051;Valparaíso  ;051;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
330;5201;5201;5201;Isla  de Pascua;05201;05201;05201;Isla de Pascua  ;5201;052;Isla de Pascua  ;052;Isla de Pascua  ;052;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Metropolitano Oriente;12
285;5301;5301;5301;Los Andes;05301;05301;05301;Los Andes  ;5301;053;Los Andes  ;053;Los Andes  ;053;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
287;5302;5302;5302;Calle Larga;05302;05302;05302;Los Andes  ;5302;053;Los Andes  ;053;Los Andes  ;053;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
288;5303;5303;5303;Rinconada;05303;05303;05303;Los Andes  ;5303;053;Los Andes  ;053;Los Andes  ;053;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
286;5304;5304;5304;San Esteban;05304;05304;05304;Los Andes  ;5304;053;Los Andes  ;053;Los Andes  ;053;De Valparaíso;05;De Valparaíso;05;Aconcagua;08;Aconcagua;08
275;5401;5401;5401;La Ligua;05401;05401;05401;Petorca;5401;054;Petorca;054;Petorca;054;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
277;5402;5402;5402;Cabildo;05402;05402;05402;Petorca;5402;054;Petorca;054;Petorca;054;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
279;5403;5403;5403;Papudo;05403;05403;05403;Petorca;5403;054;Petorca;054;Petorca;054;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
276;5404;5404;5404;Petorca;05404;05404;05404;Petorca;5404;054;Petorca;054;Petorca;054;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
278;5405;5405;5405;Zapallar;05405;05405;05405;Petorca;5405;054;Petorca;054;Petorca;054;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
300;5501;5501;5501;Quillota;05501;05501;05501;Quillota  ;5501;055;Quillota  ;055;Quillota  ;055;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
302;5502;5502;5502;Calera;05502;05502;05502;Quillota  ;5502;055;Quillota  ;055;Quillota  ;055;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
304;5503;5503;5503;Hijuelas;05503;05503;05503;Quillota  ;5503;055;Quillota  ;055;Quillota  ;055;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
301;5504;5504;5504;La Cruz;05504;05504;05504;Quillota  ;5504;055;Quillota  ;055;Quillota  ;055;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
305;5505;5505;5802;Limache;05505;05505;05802;Quillota  ;5802;055;Quillota  ;055;Marga Marga;058;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
303;5506;5506;5506;Nogales;05506;05506;05506;Quillota  ;5506;055;Quillota  ;055;Quillota  ;055;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
306;5507;5507;5803;Olmué;05507;05507;05803;Quillota  ;5803;055;Quillota  ;055;Marga Marga;058;De Valparaíso;05;De Valparaíso;05;Viña del Mar Quillota;07;Viña del Mar Quillota;07
320;5601;5601;5601;San Antonio;05601;05601;05601;San Antonio  ;5601;056;San Antonio  ;056;San Antonio  ;056;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
324;5602;5602;5602;Algarrobo;05602;05602;05602;San Antonio  ;5602;056;San Antonio  ;056;San Antonio  ;056;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
321;5603;5603;5603;Cartagena;05603;05603;05603;San Antonio  ;5603;056;San Antonio  ;056;San Antonio  ;056;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
323;5604;5604;5604;El Quisco;05604;05604;05604;San Antonio  ;5604;056;San Antonio  ;056;San Antonio  ;056;De Valparaíso;05;De Valparaíso;05;Valparaíso San Antonio;06;Valparaíso San Antonio;06
