employeeCountRange,name,websiteUrl
"{'code': 'H', 'name': '5001-10000'}",Allianz Italia,http://www.allianz.it/
"{'code': 'H', 'name': '5001-10000'}",Garbarino S.A.,www.garbarino.com
"{'code': 'I', 'name': '10001+'}",Corporación Multi Inversiones,http://www.cmi.co
"{'code': 'F', 'name': '501-1000'}",Grupo SMS,http://www.sms-europa.com/
"{'code': 'G', 'name': '1001-5000'}",tgestiona Perú,http://bit.ly/1YrsLUR
"{'code': 'E', 'name': '201-500'}",PA DIGITAL,https://www.padigital.es
"{'code': 'C', 'name': '11-50'}","Mobile Financial Services, a Telefonica and Mastercard Joint Venture for Mobile Payments",www.tudineromovil.pe
"{'code': 'F', 'name': '501-1000'}",Accedo.tv,www.accedo.tv
"{'code': 'G', 'name': '1001-5000'}",Edenor,http://www.edenor.com
"{'code': 'F', 'name': '501-1000'}",Media Networks,http://medianetworks.net/
"{'code': 'D', 'name': '51-200'}",Publicis Singapore,www.publicis.com.sg
"{'code': 'E', 'name': '201-500'}",Galicia Seguros,www.galiciaseguros.com.ar
"{'code': 'D', 'name': '51-200'}",Synergic Partners,http://www.synergicpartners.com
"{'code': 'D', 'name': '51-200'}",Mondia Media Group,www.mondiamedia.com
"{'code': 'G', 'name': '1001-5000'}",TGestiona Brasil,www.tgestiona.com.br
"{'code': 'E', 'name': '201-500'}",Zeleris,www.zeleris.com
"{'code': 'F', 'name': '501-1000'}",Grupo Fava,www.favacard.com.ar
"{'code': 'C', 'name': '11-50'}",Trescom Comunicación,http://www.trescomcomunicacion.es
"{'code': 'D', 'name': '51-200'}",Titans Group,www.titansgroup.com.br
"{'code': 'C', 'name': '11-50'}",Gestão Telefônica e TI,topxnet.com.br
"{'code': 'F', 'name': '501-1000'}",VIVA Bolivia,http://www.viva.com.bo
"{'code': 'E', 'name': '201-500'}","Comet Global Consulting, a Merkle Company",www.cometgc.com
"{'code': 'E', 'name': '201-500'}",Telxius,telxius.com
"{'code': 'C', 'name': '11-50'}","DIXIT, Traducción e Interpretación",http://www.dixit.es/
"{'code': 'F', 'name': '501-1000'}",BCI Seguros,www.bciseguros.cl
"{'code': 'F', 'name': '501-1000'}",EPSA,www.celsia.com
"{'code': 'A', 'name': 'myself only'}",Gestion telefonica,http://www.gestiontelefonica.com/
"{'code': 'F', 'name': '501-1000'}",Metropolis Grupo,www.metropolisgrupo.com
"{'code': 'D', 'name': '51-200'}",Iptel - Internet + TV + Telefonía IP,http://www.iptel.com.ar
"{'code': 'D', 'name': '51-200'}",Forum for the Future,forumforthefuture.org
"{'code': 'C', 'name': '11-50'}",KeepCoding®,http://www.keepcoding.io/es
"{'code': 'D', 'name': '51-200'}",Lambie-Nairn,www.lambie-nairn.com
"{'code': 'G', 'name': '1001-5000'}",Brightstar UK,http://www.brightstar-2020.com/
"{'code': 'C', 'name': '11-50'}",Apiumhub,https://apiumhub.com/
"{'code': 'D', 'name': '51-200'}",Trazos,http://www.trazos.net
"{'code': 'C', 'name': '11-50'}","Clarive Software, Inc.",http://clarive.com
"{'code': 'E', 'name': '201-500'}",Externalia Outsourcing Comercial,http://www.externalia.es
"{'code': 'F', 'name': '501-1000'}",Red Link S.A.,www.redlink.com.ar
"{'code': 'F', 'name': '501-1000'}",Claro Honduras,http://www.claro.com.hn
"{'code': 'D', 'name': '51-200'}","Ancert, Agencia Notarial de Certificación",www.ancert.com
"{'code': 'E', 'name': '201-500'}",Páginas Amarillas,https://soluciones.paginasamarillas.es/
"{'code': 'D', 'name': '51-200'}",Raona,www.raona.com
"{'code': 'D', 'name': '51-200'}",Voxbone,https://www.voxbone.com/
"{'code': 'G', 'name': '1001-5000'}",Banco Santa Cruz RD,www.bsc.com.do
"{'code': 'B', 'name': '2-10'}",inKNOWation,www.inknowation.com
"{'code': 'D', 'name': '51-200'}",A Piece of Pie,www.piecepie.com
"{'code': 'B', 'name': '2-10'}",Revista infoRETAIL,www.revistainforetail.com
"{'code': 'D', 'name': '51-200'}",Ibertech TIC Services,www.ibertech.org
"{'code': 'C', 'name': '11-50'}",STUDIO BANANA,www.studiobanana.com
"{'code': 'D', 'name': '51-200'}",iThink,http://www.ithink.com.br
"{'code': 'D', 'name': '51-200'}",Digital Skills Academy,https://digitalskillsacademy.com
"{'code': 'C', 'name': '11-50'}",OPINATOR,http://www.opinator.com
"{'code': 'C', 'name': '11-50'}",Reimagine Food,www.reimagine-food.com
"{'code': 'E', 'name': '201-500'}",WIT Software,http://www.wit-software.com
"{'code': 'G', 'name': '1001-5000'}",Tigo Bolivia,http://www.tigo.com.bo/
"{'code': 'D', 'name': '51-200'}",Genetsis,http://www.genetsis.com
"{'code': 'C', 'name': '11-50'}",Mormedi,http://www.mormedi.com/
"{'code': 'D', 'name': '51-200'}",Brand Embassy,www.brandembassy.com
"{'code': 'C', 'name': '11-50'}","MindMeld, Inc",www.mindmeld.com
"{'code': 'D', 'name': '51-200'}",Green Park Content,www.greenparkcontent.com
"{'code': 'E', 'name': '201-500'}",TROX España,www.trox.es
"{'code': 'D', 'name': '51-200'}",Fidor Solutions,https://www.fidor.com
"{'code': 'E', 'name': '201-500'}",AirON Group,www.airongroup.net
"{'code': 'E', 'name': '201-500'}",Navita BR,http://www.navita.com.br
"{'code': 'D', 'name': '51-200'}",The Marketing Practice,themarketingpractice.com
"{'code': 'D', 'name': '51-200'}",masvoz,http://www.masvoz.es/
"{'code': 'F', 'name': '501-1000'}",Banco Finandina,www.bancofinandina.com
"{'code': 'A', 'name': 'myself only'}",Tea Time Studio,http://www.teatimestudio.com
"{'code': 'H', 'name': '5001-10000'}",Afore XXI Banorte,www.xxi-banorte.com
"{'code': 'F', 'name': '501-1000'}",ADB,http://www.adbglobal.com
"{'code': 'G', 'name': '1001-5000'}",RV Tecnologia e Sistemas S.A. ,www.rvtecnologia.com.br
"{'code': 'D', 'name': '51-200'}",Best Western Italia,www.bestwestern.it
"{'code': 'C', 'name': '11-50'}",Rumba° Digital Agency,www.rumba.com.br
"{'code': 'D', 'name': '51-200'}",Imparta,https://www.imparta.com
